frame:1 action['wsj', 'xsj'] state:[0, 0]
frame:485 action['', 'd'] state:[1, 1]
frame:487 action['', 'w'] state:[1, 1]
frame:489 action['zsj', 'asj'] state:[1, 1]
frame:491 action['w', 'a'] state:[1, 1]
frame:493 action['zs', 'xs'] state:[1, 1]
frame:495 action['wj', 'aj'] state:[1, 1]
frame:497 action['zs', 'xs'] state:[1, 1]
frame:499 action['a', 'a'] state:[1, 1]
frame:501 action['xsj', 'xsj'] state:[1, 1]
frame:503 action['a', 'x'] state:[1, 1]
frame:505 action['xs', 'ds'] state:[1, 1]
frame:507 action['aj', 'xj'] state:[1, 1]
frame:509 action['xs', 'ds'] state:[1, 1]
frame:511 action['a', 'x'] state:[1, 1]
frame:513 action['xsj', 'dsj'] state:[1, 1]
frame:515 action['a', 'z'] state:[1, 1]
frame:517 action['xs', 'xs'] state:[1, 1]
frame:519 action['aj', 'xj'] state:[1, 1]
frame:521 action['xs', 'ds'] state:[1, 1]
frame:523 action['a', 'ws'] state:[1, 0]
frame:525 action['xsj', 'asj'] state:[1, 0]
frame:527 action['z', 'ws'] state:[1, 0]
frame:529 action['ds', 'as'] state:[1, 0]
frame:531 action['aj', 'wsj'] state:[1, 0]
frame:533 action['xs', 'as'] state:[1, 0]
frame:535 action['z', 'ws'] state:[1, 0]
frame:537 action['dsj', 'esj'] state:[1, 0]
frame:539 action['w', 'es'] state:[0, 0]
frame:541 action['as', 'es'] state:[0, 0]
frame:543 action['ej', 'esj'] state:[0, 0]
frame:545 action['ws', 'es'] state:[0, 0]
frame:547 action['d', 'as'] state:[0, 0]
frame:549 action['esj', 'asj'] state:[0, 0]
frame:551 action['d', 'as'] state:[0, 0]
frame:553 action['es', 'as'] state:[0, 0]
frame:555 action['dj', 'asj'] state:[0, 0]
frame:557 action['es', 'as'] state:[0, 0]
frame:559 action['d', 'zsk'] state:[0, 2]
frame:561 action['esj', 'zsj'] state:[0, 2]
frame:563 action['d', 'as'] state:[1, 2]
frame:565 action['es', 'zs'] state:[1, 2]
frame:567 action['xj', 'zsj'] state:[1, 2]
frame:569 action['ds', 'zs'] state:[1, 2]
frame:571 action['d', 'ds'] state:[1, 0]
frame:573 action['esj', 'asj'] state:[1, 2]
frame:575 action['x', 'ds'] state:[1, 0]
frame:577 action['ds', 'as'] state:[1, 2]
frame:579 action['dj', 'esj'] state:[1, 2]
frame:581 action['es', 'ws'] state:[1, 1]
frame:583 action['es', 'es'] state:[1, 1]
frame:585 action['esj', 'esj'] state:[1, 1]
frame:587 action['es', 'es'] state:[1, 1]
frame:589 action['es', 'es'] state:[1, 1]
frame:591 action['esj', 'wsj'] state:[1, 1]
frame:593 action['as', 'es'] state:[0, 1]
frame:595 action['zs', 'xs'] state:[0, 0]
frame:597 action['asj', 'zsk'] state:[0, 2]
frame:599 action['asj', 'zsj'] state:[0, 2]
frame:600 action['asj', 'zsj'] state:[0, 2]
